symbol,model,stable,mse_h1,mse_h5,mse_h10,mse_avg
.KS11,HAR,True,0.3098576373599283,0.4457841551858493,0.518883350924526,0.42484171449010116
.KS11,diag_200_p1q1,True,0.30521135686375545,0.44531932140392005,0.5166467090321679,0.42239246243328116
.KS11,multi_diag_p0_p1,True,0.30581952153139397,0.44408964114880733,0.5144738042578371,0.42146098897934614
.KS11,multi_diag_p0_p1q2,True,0.30483705133950656,0.4451393365004226,0.5239529100957792,0.4246430993119028
.KS11,multi_diag_triplet,True,0.3042731199691721,0.4478694823264325,0.5178985533456192,0.42334705188040794
.KSE,HAR,True,0.4456885619946633,0.6913327207718234,0.8160456260187539,0.6510223029284136
.KSE,diag_200_p1q1,True,0.4467542476001307,0.6737909375392116,0.7792241423700728,0.6332564425031384
.KSE,multi_diag_p0_p1,True,0.44127843004732564,0.8680818834809856,0.7935515509088885,0.7009706214790666
.KSE,multi_diag_p0_p1q2,True,0.4400206497279514,0.6575403589639108,0.7838521715028622,0.6271377267315748
.KSE,multi_diag_triplet,True,0.439004041028498,0.6918387187965852,0.7963453959177813,0.6423960519142882
.MXX,HAR,True,0.4289315320286793,0.5489036170164249,0.6177463313017696,0.5318604934489579
.MXX,diag_200_p1q1,True,0.42290541140396615,0.5503856467915202,0.6239185068172652,0.5324031883375838
.MXX,multi_diag_p0_p1,True,0.4241458216804622,0.5460068526303291,0.6167179978719032,0.5289568907275649
.MXX,multi_diag_p0_p1q2,True,0.4232097899289142,0.545268429756178,0.6155132797027884,0.5279971664626268
.MXX,multi_diag_triplet,True,0.4228848319950891,0.553868878254413,0.617968745566847,0.531574151938783
.N225,HAR,True,0.41618152094408023,0.6258509100281774,0.7382163201809774,0.5934162503844117
.N225,diag_200_p1q1,True,0.41264775554112165,0.6200214057352996,0.7312813889790593,0.5879835167518269
.N225,multi_diag_p0_p1,True,0.41377108067205326,0.6229296387098261,0.7355627325968342,0.5907544839929045
.N225,multi_diag_p0_p1q2,True,0.41260605067967,0.6225109612323634,0.7323712138509717,0.5891627419210017
.N225,multi_diag_triplet,True,0.41331410770015753,0.6299180589366082,0.7455867629241695,0.5962729765203117
.NSEI,HAR,True,0.32381817431849524,0.4307644129401276,0.4706518794839455,0.40841148891418944
.NSEI,diag_200_p1q1,True,0.3218427244571755,0.43034019826492714,0.4835716843868763,0.41191820236965965
.NSEI,multi_diag_p0_p1,True,0.31992698718061613,0.4245417056211404,0.4642442372653114,0.402904310022356
.NSEI,multi_diag_p0_p1q2,True,0.31964721834670856,0.4257770649608333,0.4641721432048257,0.40319880883745585
.NSEI,multi_diag_triplet,True,0.31972505880804103,0.42595538581347764,0.46478732561066066,0.4034892567440598
.OMXC20,HAR,True,0.4563240120877194,0.5684598918066963,0.6329840270992227,0.5525893103312128
.OMXC20,diag_200_p1q1,True,0.45404606840276607,0.5705001645296591,0.6323986413328545,0.5523149580884267
.OMXC20,multi_diag_p0_p1,True,0.4539365506670979,0.5675887418414813,0.6256915882773314,0.5490722935953035
.OMXC20,multi_diag_p0_p1q2,True,0.4530914168579972,0.5686876869083252,0.6243536735244474,0.5487109257635899
.OMXC20,multi_diag_triplet,True,0.45357354685501555,0.5684490545506538,0.6154762884159116,0.5458329632738602
.OMXHPI,HAR,True,0.2515831014012166,0.3513778952414374,0.41124442402874695,0.3380684735571336
.OMXHPI,diag_200_p1q1,True,0.24965032733173367,0.35010663138250186,0.4026654618810822,0.33414080686510594
.OMXHPI,multi_diag_p0_p1,True,0.24864186093372628,0.3476932202324528,0.3985629614652841,0.33163268087715436
.OMXHPI,multi_diag_p0_p1q2,True,0.24865684545841266,0.3453819703658577,0.3988963597713679,0.3309783918652128
.OMXHPI,multi_diag_triplet,True,0.2481332398260396,0.346632927989136,0.3917705994234601,0.3288455890795452
.OMXSPI,HAR,True,0.26400554706123813,0.3624422539220483,0.4121410863266681,0.3461962957699849
.OMXSPI,diag_200_p1q1,True,0.2587118169359309,0.36072046011610726,0.4079683376297228,0.34246687156058697
.OMXSPI,multi_diag_p0_p1,True,0.2578939512308956,0.35713322102645123,0.40450775243234,0.33984497489656224
.OMXSPI,multi_diag_p0_p1q2,True,0.2584977878758179,0.35600807917746335,0.40330484811614853,0.3392702383898099
.OMXSPI,multi_diag_triplet,True,0.2583006188847048,0.35690079482820214,0.398419816641347,0.337873743451418
.OSEAX,HAR,True,0.37246009191966406,0.4728484833263463,0.5457180075562341,0.4636755276007481
.OSEAX,diag_200_p1q1,True,0.37082179169107027,0.4749201432137756,0.5444179834449856,0.4633866394499438
.OSEAX,multi_diag_p0_p1,True,0.5544559389249669,0.4729888937284695,0.5417397597089884,0.523061530787475
.OSEAX,multi_diag_p0_p1q2,True,0.3696856741784312,0.47423680542612534,0.5442264073591084,0.46271629565455497
.OSEAX,multi_diag_triplet,True,0.3705585659262747,0.47282064188822026,0.5763188874271015,0.47323269841386545
.RUT,HAR,True,0.35754737445179635,0.5340085953940715,0.6231610908755549,0.504905686907141
.RUT,diag_200_p1q1,True,0.34988317783418604,0.5308861997770952,0.7453010256191521,0.5420234677434778
.RUT,multi_diag_p0_p1,True,0.3511344829884589,0.5408278557882882,0.6252772769143272,0.5057465385636913
.RUT,multi_diag_p0_p1q2,True,0.3494289754196077,0.5182737168777972,0.6123439039506213,0.49334886541600875
