symbol,config,mse_h1,mse_h5,mse_h22,mse_avg
.IXIC,aug_n100_sn0.95,0.4221895751547282,0.5888440917197327,0.7985601462176933,0.6031979376973847
.KS11,HAR,0.3631635966407906,0.4596491818185809,0.651655958659968,0.4914895790397798
.KS11,HAR_Ridge,0.36304053233651973,0.4596720377699624,0.6528790844146255,0.4918638848403692
.KS11,diag_n100_sn0.80,0.35893874093410433,0.4643005345417192,0.6654008895386124,0.4962133883381454
.KS11,diag_n100_sn0.90,0.3589627023081386,0.4597861935172099,0.6555187441834575,0.491422546669602
.KS11,diag_n100_sn0.95,0.35829518316764475,0.47875471494303157,0.649473140513688,0.49550767954145475
.KS11,diag_n100_sn0.99,0.3590215385299445,0.45617293533529024,0.647188397883181,0.48746095724947197
.KS11,diag_n200_sn0.90,0.3591090694302256,0.45926053157841584,0.6516101982946851,0.4899932664344422
.KS11,diag_n200_sn0.95,0.3587534025918481,0.45780113431905356,0.6585964026767572,0.49171697986255297
.KS11,diag_p2_n100_sn0.90,0.35708551486547757,0.46250163321222876,0.7024189723419502,0.5073353734732189
.KS11,diag_p2_n100_sn0.95,0.3550998357695945,0.4579815324318041,0.7124876197602007,0.5085229959871999
.KS11,aug_n100_sn0.90,0.3593857049900313,0.46071830759352234,0.6520933279005753,0.49073244682804296
.KS11,aug_n100_sn0.95,0.3594579886760207,0.4586421700113184,0.6500288383248172,0.4893763323373854
.KSE,HAR,0.5545826463478662,0.7438542280922062,0.9605744104635626,0.753003761634545
.KSE,HAR_Ridge,0.553602596209885,0.7447949354692466,1.0017290459744728,0.766708859217868
.KSE,diag_n100_sn0.80,0.5550742512489374,0.7040446569587973,1.071488412418581,0.7768691068754386
.KSE,diag_n100_sn0.90,0.5509681816059503,0.7355375094909371,1.06979366656435,0.7854331192204125
.KSE,diag_n100_sn0.95,0.6092158904677287,0.7387041991168625,1.0432265233647768,0.7970488709831226
.KSE,diag_n100_sn0.99,0.5473130423300191,0.7348247087666727,1.0194566569461763,0.7671981360142893
.KSE,diag_n200_sn0.90,0.5554226524584408,0.7266239417137745,1.0737312827912906,0.7852592923211686
.KSE,diag_n200_sn0.95,0.5456481893410172,0.7201713659408965,1.051967704202636,0.7725957531615166
.KSE,diag_p2_n100_sn0.90,0.5420853333000997,1.2111970017193756,1.0193495371513148,0.9242106240569301
.KSE,diag_p2_n100_sn0.95,0.537167672513866,0.7195881575956045,1.017371477481302,0.7580424358635908
.KSE,aug_n100_sn0.90,0.5494093947298465,0.7281041803890703,1.0551613647577873,0.7775583132922348
.KSE,aug_n100_sn0.95,0.7748175386380765,0.7252963814420897,1.0343939204872001,0.8448359468557888
.MXX,HAR,0.45693088906291385,0.5625965189943921,0.6993733546890339,0.5729669209154467
.MXX,HAR_Ridge,0.4568120987185058,0.5623407953822933,0.6993688585817746,0.5728405842275246
.MXX,diag_n100_sn0.80,0.4557417212998792,0.5690339995911251,0.7383352197657812,0.5877036468855952
.MXX,diag_n100_sn0.90,0.4559304840082438,0.5667911747019735,0.7106226907103887,0.5777814498068686
.MXX,diag_n100_sn0.95,0.45587659851215223,0.5600131627593326,0.707323718887013,0.574404493386166
.MXX,diag_n100_sn0.99,0.4542947377831992,0.5568006104956704,0.7078144255618091,0.5729699246135596
.MXX,diag_n200_sn0.90,0.45508903966267383,0.5644265872116173,0.7169300227043202,0.5788152165262037
.MXX,diag_n200_sn0.95,0.45579071409098976,0.5594649786853897,0.7060112387373827,0.5737556438379207
.MXX,diag_p2_n100_sn0.90,0.45785336132541393,0.5688374625190618,0.7496310948405567,0.5921073062283441
.MXX,diag_p2_n100_sn0.95,0.45652504428296226,0.5639112135636203,0.7725544371699581,0.5976635650055134
.MXX,aug_n100_sn0.90,0.45563622679575855,0.5660259402817451,0.7038851607839377,0.5751824426204805
.MXX,aug_n100_sn0.95,0.4570016886897118,0.5614085938827832,0.7080234582391911,0.5754779136038953
.N225,HAR,0.5056130549719201,0.6551268083023537,0.9523463350406668,0.7043620661049802
.N225,HAR_Ridge,0.5053274116448017,0.6550473905153555,0.9504365775964587,0.7036037932522053
.N225,diag_n100_sn0.80,0.5023065494210478,0.6500290698393314,0.9600170849005921,0.7041175680536571
.N225,diag_n100_sn0.90,0.5018907366928587,0.6502807926798587,0.9654152785839721,0.7058622693188964
.N225,diag_n100_sn0.95,0.5023191549067874,0.6497620813880505,0.9458109307355588,0.6992973890101322
.N225,diag_n100_sn0.99,0.502565189663087,0.6628308704783806,0.9202928062701552,0.6952296221372075
