sym,dgp_seed,horizon,alpha_idx,alpha,log10_alpha,oos_mse
.AORD,137,1,22,31.622776601683793,1.5,0.7308061008230808
.AORD,137,1,23,56.23413251903491,1.75,0.7310203761368917
.AORD,137,1,24,100.0,2.0,0.7314515762546983
.AORD,137,1,25,177.82794100389228,2.25,0.7321599973202411
.AORD,137,1,26,316.22776601683796,2.5,0.7333946292913357
.AORD,137,1,27,562.341325190349,2.75,0.7359588183868582
.AORD,137,1,28,1000.0,3.0,0.741863499638998
.AORD,137,1,29,1778.2794100389228,3.25,0.7553549416379489
.AORD,137,1,30,3162.2776601683795,3.5,0.7838431153559202
.AORD,137,1,31,5623.413251903491,3.75,0.8366912692835438
.AORD,137,1,32,10000.0,4.0,0.9195415676111797
.AORD,137,1,33,17782.794100389227,4.25,1.028100905493279
.AORD,137,1,34,31622.776601683792,4.5,1.1513736205926839
.AORD,137,1,35,56234.13251903491,4.75,1.282769125753278
.AORD,137,1,36,100000.0,5.0,1.4230753980118336
.AORD,256,1,0,0.0001,-4.0,2.1952185046989663
.AORD,256,1,1,0.00017782794100389227,-3.75,0.6411118770801731
.AORD,256,1,2,0.00031622776601683794,-3.5,0.6364621342806356
.AORD,256,1,3,0.0005623413251903491,-3.25,0.638814289076119
.AORD,256,1,4,0.001,-3.0,0.6379969888230028
.AORD,256,1,5,0.0017782794100389228,-2.75,0.6372537242174766
.AORD,256,1,6,0.0031622776601683794,-2.5,0.6364735162533881
.AORD,256,1,7,0.005623413251903491,-2.25,0.6356863433992934
.AORD,256,1,8,0.01,-2.0,0.6349363365558935
.AORD,256,1,9,0.01778279410038923,-1.75,0.6342550207327939
.AORD,256,1,10,0.03162277660168379,-1.5,0.6336507050912388
.AORD,256,1,11,0.05623413251903491,-1.25,0.6331065572423096
.AORD,256,1,12,0.1,-1.0,0.6325913419801542
.AORD,256,1,13,0.1778279410038923,-0.75,0.6320768860958812
.AORD,256,1,14,0.31622776601683794,-0.5,0.6315589150239034
.AORD,256,1,15,0.5623413251903491,-0.25,0.6310697277436464
.AORD,256,1,16,1.0,0.0,0.6306583160126926
.AORD,256,1,17,1.7782794100389228,0.25,0.6303506501256598
.AORD,256,1,18,3.1622776601683795,0.5,0.6301374549136365
.AORD,256,1,19,5.623413251903491,0.75,0.629994941571627
.AORD,256,1,20,10.0,1.0,0.6299040607590287
.AORD,256,1,21,17.78279410038923,1.25,0.6298538510537045
.AORD,256,1,22,31.622776601683793,1.5,0.6298426186092928
.AORD,256,1,23,56.23413251903491,1.75,0.6298884688960674
.AORD,256,1,24,100.0,2.0,0.6300581736887927
.AORD,256,1,25,177.82794100389228,2.25,0.6305319492489516
.AORD,256,1,26,316.22776601683796,2.5,0.6317158537502986
.AORD,256,1,27,562.341325190349,2.75,0.6344544165444238
.AORD,256,1,28,1000.0,3.0,0.64053743369194
.AORD,256,1,29,1778.2794100389228,3.25,0.6537079561492232
.AORD,256,1,30,3162.2776601683795,3.5,0.6808943538499749
.AORD,256,1,31,5623.413251903491,3.75,0.732210453230532
.AORD,256,1,32,10000.0,4.0,0.8175963908385152
.AORD,256,1,33,17782.794100389227,4.25,0.9414530044822084
.AORD,256,1,34,31622.776601683792,4.5,1.100412687378569
.AORD,256,1,35,56234.13251903491,4.75,1.282864055213617
.AORD,256,1,36,100000.0,5.0,1.4675461383882904
.BFX,42,1,0,0.0001,-4.0,0.7935843337874551
.BFX,42,1,1,0.00017782794100389227,-3.75,0.453138408547169
.BFX,42,1,2,0.00031622776601683794,-3.5,0.4654109130166071
.BFX,42,1,3,0.0005623413251903491,-3.25,0.450956179625971
.BFX,42,1,4,0.001,-3.0,0.4485650268690708
.BFX,42,1,5,0.0017782794100389228,-2.75,0.44822178709368093
.BFX,42,1,6,0.0031622776601683794,-2.5,0.44794830244055733
.BFX,42,1,7,0.005623413251903491,-2.25,0.4477121994081275
.BFX,42,1,8,0.01,-2.0,0.4474923404659913
.BFX,42,1,9,0.01778279410038923,-1.75,0.4472799135040447
.BFX,42,1,10,0.03162277660168379,-1.5,0.4470790919007378
.BFX,42,1,11,0.05623413251903491,-1.25,0.4469015641691807
.BFX,42,1,12,0.1,-1.0,0.4467557190275404
.BFX,42,1,13,0.1778279410038923,-0.75,0.4466330767881474
.BFX,42,1,14,0.31622776601683794,-0.5,0.4465068203984873
.BFX,42,1,15,0.5623413251903491,-0.25,0.44635149818366343
.BFX,42,1,16,1.0,0.0,0.44616352206349186
.BFX,42,1,17,1.7782794100389228,0.25,0.4459628648802191
.BFX,42,1,18,3.1622776601683795,0.5,0.4457820911691243
.BFX,42,1,19,5.623413251903491,0.75,0.4456577589137949
.BFX,42,1,20,10.0,1.0,0.4456323103951696
.BFX,42,1,21,17.78279410038923,1.25,0.4457684747129168
.BFX,42,1,22,31.622776601683793,1.5,0.44617005418292505
.BFX,42,1,23,56.23413251903491,1.75,0.44700178968475884
.BFX,42,1,24,100.0,2.0,0.4485213904084994
.BFX,42,1,25,177.82794100389228,2.25,0.45113219874070376
.BFX,42,1,26,316.22776601683796,2.5,0.45539620493159705
.BFX,42,1,27,562.341325190349,2.75,0.46192087709195107
.BFX,42,1,28,1000.0,3.0,0.47129634370509116
.BFX,42,1,29,1778.2794100389228,3.25,0.4846962471396454
.BFX,42,1,30,3162.2776601683795,3.5,0.5056087764805303
.BFX,42,1,31,5623.413251903491,3.75,0.5421633146906474
.BFX,42,1,32,10000.0,4.0,0.6081068447182438
.BFX,42,1,33,17782.794100389227,4.25,0.7185605327858788
.BFX,42,1,34,31622.776601683792,4.5,0.8773836880206182
.BFX,42,1,35,56234.13251903491,4.75,1.0651374146379444
.BFX,42,1,36,100000.0,5.0,1.2465829498129775
