key,model,stable,mse_h1,mse_avg
.FTSE_s137,Noiseless,True,0.5480478361347227,0.5480478361347227
.FTSE_s137,SAS_same_fixedλ,True,0.5494809732242415,0.5494809732242415
.FTSE_s137,SAS_same_cvλ,True,0.5504687326451297,0.5504687326451297
.FTSE_s137,SAS_diff,True,0.5502366388630602,0.5502366388630602
.FTSE_s137,SAS_q1,True,0.5524433216042652,0.5524433216042652
.FTSE_s137,HAR,True,0.5551152455870029,0.5551152455870029
.FTSE_s137,DLinear,True,0.5603448501017592,0.5603448501017592
.FTSE_s137,GARCH,True,0.5599074863761808,0.5599074863761808
.FTSE_s256,Noiseless,True,0.480403833531813,0.480403833531813
.FTSE_s256,SAS_same_fixedλ,True,0.4802256539314711,0.4802256539314711
.FTSE_s256,SAS_same_cvλ,True,0.4803572624460068,0.4803572624460068
.FTSE_s256,SAS_diff,True,0.481181339082634,0.481181339082634
.FTSE_s256,SAS_q1,True,0.4854343425778412,0.4854343425778412
.FTSE_s256,HAR,True,0.4873860789561957,0.4873860789561957
.FTSE_s256,DLinear,True,0.4863487529075718,0.4863487529075718
.FTSE_s256,GARCH,True,0.4928922849108748,0.4928922849108748
.GDAXI_s42,Noiseless,True,0.5416300856353204,0.5416300856353204
.GDAXI_s42,SAS_same_fixedλ,True,0.1293865586105685,0.1293865586105685
.GDAXI_s42,SAS_same_cvλ,True,0.2891710863722106,0.2891710863722106
.GDAXI_s42,SAS_diff,True,0.13176118636056144,0.13176118636056144
.GDAXI_s42,SAS_q1,True,0.12335142466286507,0.12335142466286507
.GDAXI_s42,HAR,True,0.12033349438516538,0.12033349438516538
.GDAXI_s42,DLinear,True,0.1205707856557537,0.1205707856557537
.GDAXI_s42,GARCH,True,0.1317738876401226,0.1317738876401226
.GDAXI_s137,Noiseless,True,0.42952462977533634,0.42952462977533634
.GDAXI_s137,SAS_same_fixedλ,True,0.4308154600452472,0.4308154600452472
.GDAXI_s137,SAS_same_cvλ,True,0.43175982097226256,0.43175982097226256
.GDAXI_s137,SAS_diff,True,0.45005088406362487,0.45005088406362487
.GDAXI_s137,SAS_q1,True,0.43336821289976907,0.43336821289976907
.GDAXI_s137,HAR,True,0.44048951150963117,0.44048951150963117
.GDAXI_s137,DLinear,True,0.4441293124770031,0.4441293124770031
.GDAXI_s137,GARCH,True,0.4412915271317686,0.4412915271317686
.GDAXI_s256,Noiseless,True,0.38038326923888977,0.38038326923888977
.GDAXI_s256,SAS_same_fixedλ,True,0.38024804250944566,0.38024804250944566
.GDAXI_s256,SAS_same_cvλ,True,0.3803537316673982,0.3803537316673982
.GDAXI_s256,SAS_diff,True,0.38079964095085833,0.38079964095085833
.GDAXI_s256,SAS_q1,True,0.38708369560794176,0.38708369560794176
.GDAXI_s256,HAR,True,0.3890807124248645,0.3890807124248645
.GDAXI_s256,DLinear,True,0.3874426961333883,0.3874426961333883
.GDAXI_s256,GARCH,True,0.39018555515257425,0.39018555515257425
.GSPTSE_s42,Noiseless,True,0.5783366901556842,0.5783366901556842
.GSPTSE_s42,SAS_same_fixedλ,True,0.5833969732561655,0.5833969732561655
.GSPTSE_s42,SAS_same_cvλ,True,0.5837596818434553,0.5837596818434553
.GSPTSE_s42,SAS_diff,True,0.583725477697693,0.583725477697693
.GSPTSE_s42,SAS_q1,True,0.5843423886729563,0.5843423886729563
.GSPTSE_s42,HAR,True,0.5858918255431271,0.5858918255431271
.GSPTSE_s42,DLinear,True,0.5874657279372095,0.5874657279372095
.GSPTSE_s42,GARCH,True,0.5985034763646475,0.5985034763646475
.GSPTSE_s137,Noiseless,True,0.5870021952256055,0.5870021952256055
.GSPTSE_s137,SAS_same_fixedλ,True,0.5890695348595478,0.5890695348595478
.GSPTSE_s137,SAS_same_cvλ,True,0.5901309460619586,0.5901309460619586
.GSPTSE_s137,SAS_diff,True,0.5915037450525105,0.5915037450525105
.GSPTSE_s137,SAS_q1,True,0.5948336713779497,0.5948336713779497
.GSPTSE_s137,HAR,True,0.5999548688811299,0.5999548688811299
.GSPTSE_s137,DLinear,True,0.605808279110414,0.605808279110414
.GSPTSE_s137,GARCH,True,0.6066226429578991,0.6066226429578991
.GSPTSE_s256,Noiseless,True,0.5149942892431553,0.5149942892431553
.GSPTSE_s256,SAS_same_fixedλ,True,0.5150423435482547,0.5150423435482547
.GSPTSE_s256,SAS_same_cvλ,True,0.5154303239819514,0.5154303239819514
.GSPTSE_s256,SAS_diff,True,0.5170957729040944,0.5170957729040944
.GSPTSE_s256,SAS_q1,True,0.5229296860035607,0.5229296860035607
.GSPTSE_s256,HAR,True,0.5263897978432062,0.5263897978432062
.GSPTSE_s256,DLinear,True,0.5239605470578508,0.5239605470578508
.GSPTSE_s256,GARCH,True,0.5332939530160196,0.5332939530160196
.HSI_s42,Noiseless,True,0.5277205196460737,0.5277205196460737
.HSI_s42,SAS_same_fixedλ,True,0.5352505075393065,0.5352505075393065
.HSI_s42,SAS_same_cvλ,True,0.5375999158097514,0.5375999158097514
.HSI_s42,SAS_diff,True,0.538308041798761,0.538308041798761
.HSI_s42,SAS_q1,True,0.5371448061147588,0.5371448061147588
.HSI_s42,HAR,True,0.542968348760705,0.542968348760705
.HSI_s42,DLinear,True,0.5405143987687469,0.5405143987687469
.HSI_s42,GARCH,True,0.5645346972922861,0.5645346972922861
.HSI_s137,Noiseless,True,0.5408830109241546,0.5408830109241546
.HSI_s137,SAS_same_fixedλ,True,0.5431317474958002,0.5431317474958002
.HSI_s137,SAS_same_cvλ,True,0.5450193290028786,0.5450193290028786
.HSI_s137,SAS_diff,True,0.5445172568144545,0.5445172568144545
.HSI_s137,SAS_q1,True,0.548318410731371,0.548318410731371
.HSI_s137,HAR,True,0.5532316711860221,0.5532316711860221
.HSI_s137,DLinear,True,0.5562251558052591,0.5562251558052591
.HSI_s137,GARCH,True,0.5598929309161329,0.5598929309161329
.HSI_s256,Noiseless,True,0.47050407341683925,0.47050407341683925
.HSI_s256,SAS_same_fixedλ,True,0.4710475833263725,0.4710475833263725
.HSI_s256,SAS_same_cvλ,True,0.47177389791938684,0.47177389791938684
.HSI_s256,SAS_diff,True,0.4727659769951221,0.4727659769951221
.HSI_s256,SAS_q1,True,0.48035775413944837,0.48035775413944837
.HSI_s256,HAR,True,0.48377870772537596,0.48377870772537596
.HSI_s256,DLinear,True,0.4815774898828277,0.4815774898828277
.HSI_s256,GARCH,True,0.49043029209161915,0.49043029209161915
.IBEX_s42,Noiseless,True,0.4313023125068801,0.4313023125068801
.IBEX_s42,SAS_same_fixedλ,True,0.4371628353685369,0.4371628353685369
.IBEX_s42,SAS_same_cvλ,True,0.4376165998863922,0.4376165998863922
.IBEX_s42,SAS_diff,True,0.43835046534041927,0.43835046534041927
.IBEX_s42,SAS_q1,True,0.48265776180641284,0.48265776180641284
.IBEX_s42,HAR,True,0.4443736653382194,0.4443736653382194
.IBEX_s42,DLinear,True,0.44622461050203993,0.44622461050203993
.IBEX_s42,GARCH,True,0.45123141020845203,0.45123141020845203
.IBEX_s137,Noiseless,True,0.4397436190736919,0.4397436190736919
.IBEX_s137,SAS_same_fixedλ,True,0.4469358329738606,0.4469358329738606
.IBEX_s137,SAS_same_cvλ,True,0.4494837486934217,0.4494837486934217
.IBEX_s137,SAS_diff,True,0.44839975284043854,0.44839975284043854
.IBEX_s137,SAS_q1,True,0.4517862129198158,0.4517862129198158
.IBEX_s137,HAR,True,0.45152723785873433,0.45152723785873433
.IBEX_s137,DLinear,True,0.4583053203449682,0.4583053203449682
.IBEX_s137,GARCH,True,0.45491610285691286,0.45491610285691286
.IBEX_s256,Noiseless,True,0.38270726466176025,0.38270726466176025
.IBEX_s256,SAS_same_fixedλ,True,0.3847118758256839,0.3847118758256839
.IBEX_s256,SAS_same_cvλ,True,0.38600212601185946,0.38600212601185946
.IBEX_s256,SAS_diff,True,0.3862624790897496,0.3862624790897496
.IBEX_s256,SAS_q1,True,0.3915638496819141,0.3915638496819141
.IBEX_s256,HAR,True,0.39269731348315207,0.39269731348315207
.IBEX_s256,DLinear,True,0.39419797839992576,0.39419797839992576
.IBEX_s256,GARCH,True,0.3960347259876122,0.3960347259876122
.IXIC_s42,Noiseless,True,0.3771788145738996,0.3771788145738996
.IXIC_s42,SAS_same_fixedλ,True,0.3821391902818728,0.3821391902818728
.IXIC_s42,SAS_same_cvλ,True,0.38307499735446104,0.38307499735446104
.IXIC_s42,SAS_diff,True,0.3815866213037931,0.3815866213037931
.IXIC_s42,SAS_q1,True,0.383250757598801,0.383250757598801
.IXIC_s42,HAR,True,0.3823106180907413,0.3823106180907413
.IXIC_s42,DLinear,True,0.3843760878684476,0.3843760878684476
.IXIC_s42,GARCH,True,0.3932876889830676,0.3932876889830676
.IXIC_s137,Noiseless,True,0.38415592682556576,0.38415592682556576
.IXIC_s137,SAS_same_fixedλ,True,0.38630607737837286,0.38630607737837286
.IXIC_s137,SAS_same_cvλ,True,0.38726835788322295,0.38726835788322295
.IXIC_s137,SAS_diff,True,0.3875806184696385,0.3875806184696385
.IXIC_s137,SAS_q1,True,0.387995030022532,0.387995030022532
.IXIC_s137,HAR,True,0.3905757907867031,0.3905757907867031
.IXIC_s137,DLinear,True,0.3944153236199075,0.3944153236199075
.IXIC_s137,GARCH,True,0.3952598236946412,0.3952598236946412
.IXIC_s256,Noiseless,True,0.3336308315462079,0.3336308315462079
.IXIC_s256,SAS_same_fixedλ,True,0.3338712257262723,0.3338712257262723
.IXIC_s256,SAS_same_cvλ,True,0.3340868043392739,0.3340868043392739
.IXIC_s256,SAS_diff,True,0.33454287430392354,0.33454287430392354
.IXIC_s256,SAS_q1,True,0.33651849013921786,0.33651849013921786
.IXIC_s256,HAR,True,0.3373241371622737,0.3373241371622737
.IXIC_s256,DLinear,True,0.3371318370043026,0.3371318370043026
.IXIC_s256,GARCH,True,0.3426477946632001,0.3426477946632001
.KS11_s42,Noiseless,True,0.3999120355176812,0.3999120355176812
.KS11_s42,SAS_same_fixedλ,True,0.03987064543037918,0.03987064543037918
.KS11_s42,SAS_same_cvλ,True,0.042624332774015554,0.042624332774015554
.KS11_s42,SAS_diff,True,0.04314949893895572,0.04314949893895572
.KS11_s42,SAS_q1,True,0.10426057671800769,0.10426057671800769
.KS11_s42,HAR,True,0.04043408269743911,0.04043408269743911
.KS11_s42,DLinear,True,0.04056433780424354,0.04056433780424354
.KS11_s42,GARCH,True,0.044502140765078496,0.044502140765078496
.KS11_s137,Noiseless,True,0.33065206727297225,0.33065206727297225
.KS11_s137,SAS_same_fixedλ,True,0.3319403715658627,0.3319403715658627
.KS11_s137,SAS_same_cvλ,True,0.33224799345951056,0.33224799345951056
.KS11_s137,SAS_diff,True,0.3320549637914863,0.3320549637914863
.KS11_s137,SAS_q1,True,0.3333709866836275,0.3333709866836275
.KS11_s137,HAR,True,0.33553009135369966,0.33553009135369966
.KS11_s137,DLinear,True,0.3387256189080067,0.3387256189080067
.KS11_s137,GARCH,True,0.33916560118353667,0.33916560118353667
.KS11_s256,Noiseless,True,0.2856847713267319,0.2856847713267319
.KS11_s256,SAS_same_fixedλ,True,0.28591071795925505,0.28591071795925505
.KS11_s256,SAS_same_cvλ,True,0.2859984080310656,0.2859984080310656
.KS11_s256,SAS_diff,True,0.2863185245441464,0.2863185245441464
.KS11_s256,SAS_q1,True,0.29265267087588953,0.29265267087588953
.KS11_s256,HAR,True,0.29466775398163747,0.29466775398163747
.KS11_s256,DLinear,True,0.29444344307132936,0.29444344307132936
.KS11_s256,GARCH,True,0.2958110457684009,0.2958110457684009
.KSE_s42,Noiseless,True,0.6653476460945699,0.6653476460945699
.KSE_s42,SAS_same_fixedλ,True,0.6695235074313057,0.6695235074313057
.KSE_s42,SAS_same_cvλ,True,0.6697749910973593,0.6697749910973593
.KSE_s42,SAS_diff,True,0.6689329915597518,0.6689329915597518
.KSE_s42,SAS_q1,True,0.6723948573663232,0.6723948573663232
.KSE_s42,HAR,True,0.6742798855030977,0.6742798855030977
.KSE_s42,DLinear,True,0.6757073778422787,0.6757073778422787
.KSE_s42,GARCH,True,0.6763330623782521,0.6763330623782521
.KSE_s137,Noiseless,True,0.656432782967532,0.656432782967532
.KSE_s137,SAS_same_fixedλ,True,0.6594143588581357,0.6594143588581357
.KSE_s137,SAS_same_cvλ,True,0.6596531669109137,0.6596531669109137
.KSE_s137,SAS_diff,True,0.6592580336715536,0.6592580336715536
.KSE_s137,SAS_q1,True,0.6668515131133652,0.6668515131133652
.KSE_s137,HAR,True,0.6679652739122867,0.6679652739122867
