sym,dgp_seed,horizon,alpha_idx,alpha,log10_alpha,oos_mse
.AORD,42,1,19,5.623413251903491,0.75,0.41866399969476703
.AORD,42,1,20,10.0,1.0,0.41839731937211155
.AORD,42,1,21,17.78279410038923,1.25,0.41813087341414784
.AORD,42,1,22,31.622776601683793,1.5,0.4179122835550064
.AORD,42,1,23,56.23413251903491,1.75,0.4178291762977924
.AORD,42,1,24,100.0,2.0,0.41800444437028317
.AORD,42,1,25,177.82794100389228,2.25,0.41859218006420607
.AORD,42,1,26,316.22776601683796,2.5,0.41982585426434776
.AORD,42,1,27,562.341325190349,2.75,0.42222307883818644
.AORD,42,1,28,1000.0,3.0,0.42704950063623615
.AORD,42,1,29,1778.2794100389228,3.25,0.4369376959756595
.AORD,42,1,30,3162.2776601683795,3.5,0.456078852323619
.AORD,42,1,31,5623.413251903491,3.75,0.4890210473311719
.AORD,42,1,32,10000.0,4.0,0.537787457169438
.AORD,42,1,33,17782.794100389227,4.25,0.5991497724687475
.AORD,42,1,34,31622.776601683792,4.5,0.6649014990694951
.AORD,42,1,35,56234.13251903491,4.75,0.725433505140152
.AORD,42,1,36,100000.0,5.0,0.7739949586489969
.AORD,137,1,0,0.0001,-4.0,0.8493398955523018
.AORD,137,1,1,0.00017782794100389227,-3.75,0.5651761181182412
.AORD,137,1,2,0.00031622776601683794,-3.5,0.4157366783072266
.AORD,137,1,3,0.0005623413251903491,-3.25,0.4142095691998611
.AORD,137,1,4,0.001,-3.0,0.4136364063229659
.AORD,137,1,5,0.0017782794100389228,-2.75,0.41309905192276325
.AORD,137,1,6,0.0031622776601683794,-2.5,0.41252986424278665
.AORD,137,1,7,0.005623413251903491,-2.25,0.4119475656960931
.AORD,137,1,8,0.01,-2.0,0.4113819323328018
.AORD,137,1,9,0.01778279410038923,-1.75,0.410865742004099
.AORD,137,1,10,0.03162277660168379,-1.5,0.41042280316434754
.AORD,137,1,11,0.05623413251903491,-1.25,0.41005520917284366
.AORD,137,1,12,0.1,-1.0,0.40974514936713313
.AORD,137,1,13,0.1778279410038923,-0.75,0.40946440125217815
.AORD,137,1,14,0.31622776601683794,-0.5,0.4091806615110211
.AORD,137,1,15,0.5623413251903491,-0.25,0.40886461118024287
.AORD,137,1,16,1.0,0.0,0.4084985241652823
.AORD,137,1,17,1.7782794100389228,0.25,0.4080813719936453
.AORD,137,1,18,3.1622776601683795,0.5,0.4076310967016401
.AORD,137,1,19,5.623413251903491,0.75,0.40718531094958743
.AORD,137,1,20,10.0,1.0,0.40679119588275353
.AORD,137,1,21,17.78279410038923,1.25,0.4064880687431943
.AORD,137,1,22,31.622776601683793,1.5,0.4063141673077777
.AORD,137,1,23,56.23413251903491,1.75,0.4063586937184469
.AORD,137,1,24,100.0,2.0,0.4068724310905377
.AORD,137,1,25,177.82794100389228,2.25,0.4084684962536108
.AORD,137,1,26,316.22776601683796,2.5,0.41240455130738957
.AORD,137,1,27,562.341325190349,2.75,0.42080257072107125
.AORD,137,1,28,1000.0,3.0,0.4366262043322878
.AORD,137,1,29,1778.2794100389228,3.25,0.46353798608181046
.AORD,137,1,30,3162.2776601683795,3.5,0.5056403643692909
.AORD,137,1,31,5623.413251903491,3.75,0.5661589276190828
.AORD,137,1,32,10000.0,4.0,0.645110511525814
.AORD,137,1,33,17782.794100389227,4.25,0.7383102006324475
.AORD,137,1,34,31622.776601683792,4.5,0.8378947687034666
.AORD,137,1,35,56234.13251903491,4.75,0.9329976501991729
.AORD,137,1,36,100000.0,5.0,1.0130062040562493
.AORD,256,1,0,0.0001,-4.0,0.412547781514542
.AORD,256,1,1,0.00017782794100389227,-3.75,0.4084279030187371
.AORD,256,1,2,0.00031622776601683794,-3.5,0.40814803728152443
.AORD,256,1,3,0.0005623413251903491,-3.25,0.4079589685884908
.AORD,256,1,4,0.001,-3.0,0.4078053719743944
.AORD,256,1,5,0.0017782794100389228,-2.75,0.407677854184089
.AORD,256,1,6,0.0031622776601683794,-2.5,0.40753651398037133
.AORD,256,1,7,0.005623413251903491,-2.25,0.40733160248948075
.AORD,256,1,8,0.01,-2.0,0.40703254978393877
.AORD,256,1,9,0.01778279410038923,-1.75,0.4066453407123775
.AORD,256,1,10,0.03162277660168379,-1.5,0.4062043172582672
.AORD,256,1,11,0.05623413251903491,-1.25,0.40574782128463727
.AORD,256,1,12,0.1,-1.0,0.4052995550901189
.AORD,256,1,13,0.1778279410038923,-0.75,0.4048647065759887
.AORD,256,1,14,0.31622776601683794,-0.5,0.4044346472473576
.AORD,256,1,15,0.5623413251903491,-0.25,0.40399467077169726
.AORD,256,1,16,1.0,0.0,0.4035341642000204
.AORD,256,1,17,1.7782794100389228,0.25,0.40305250637503187
.AORD,256,1,18,3.1622776601683795,0.5,0.4025554372380958
.AORD,256,1,19,5.623413251903491,0.75,0.4020519643449652
.AORD,256,1,20,10.0,1.0,0.4015576441422352
.AORD,256,1,21,17.78279410038923,1.25,0.40110006291176814
.AORD,256,1,22,31.622776601683793,1.5,0.4007290446268993
.AORD,256,1,23,56.23413251903491,1.75,0.40054118176851433
.AORD,256,1,24,100.0,2.0,0.4007416911228682
.AORD,256,1,25,177.82794100389228,2.25,0.4017814197164276
.AORD,256,1,26,316.22776601683796,2.5,0.4045981922987451
.AORD,256,1,27,562.341325190349,2.75,0.4109597076261253
.AORD,256,1,28,1000.0,3.0,0.42383339216436056
.AORD,256,1,29,1778.2794100389228,3.25,0.44741277501216364
.AORD,256,1,30,3162.2776601683795,3.5,0.48607909081086675
.AORD,256,1,31,5623.413251903491,3.75,0.5422089795394965
.AORD,256,1,32,10000.0,4.0,0.6138440317442617
.AORD,256,1,33,17782.794100389227,4.25,0.6938092802869715
.AORD,256,1,34,31622.776601683792,4.5,0.7720831198912725
.AORD,256,1,35,56234.13251903491,4.75,0.8402008803404627
.AORD,256,1,36,100000.0,5.0,0.89375040114774
.BFX,42,1,0,0.0001,-4.0,0.3730185745010954
.BFX,42,1,1,0.00017782794100389227,-3.75,60.59373671204051
.BFX,42,1,2,0.00031622776601683794,-3.5,0.261127735026805
.BFX,42,1,3,0.0005623413251903491,-3.25,0.25992794553413867
.BFX,42,1,4,0.001,-3.0,0.2588354785954584
.BFX,42,1,5,0.0017782794100389228,-2.75,0.25862084332474583
.BFX,42,1,6,0.0031622776601683794,-2.5,0.2584611283457869
.BFX,42,1,7,0.005623413251903491,-2.25,0.25833583890710554
.BFX,42,1,8,0.01,-2.0,0.25823190762113724
.BFX,42,1,9,0.01778279410038923,-1.75,0.2581356246988952
.BFX,42,1,10,0.03162277660168379,-1.5,0.2580336162117724
.BFX,42,1,11,0.05623413251903491,-1.25,0.2579174346734069
.BFX,42,1,12,0.1,-1.0,0.2577857061759269
.BFX,42,1,13,0.1778279410038923,-0.75,0.2576410819372335
.BFX,42,1,14,0.31622776601683794,-0.5,0.257485989767122
.BFX,42,1,15,0.5623413251903491,-0.25,0.2573206839152519
.BFX,42,1,16,1.0,0.0,0.2571438898880752
.BFX,42,1,17,1.7782794100389228,0.25,0.256953850885839
.BFX,42,1,18,3.1622776601683795,0.5,0.25674914766050483
.BFX,42,1,19,5.623413251903491,0.75,0.25653352349899716
.BFX,42,1,20,10.0,1.0,0.25632890123771285
.BFX,42,1,21,17.78279410038923,1.25,0.2561907712064153
.BFX,42,1,22,31.622776601683793,1.5,0.25622348858099353
.BFX,42,1,23,56.23413251903491,1.75,0.25661787254969576
.BFX,42,1,24,100.0,2.0,0.2577039803231524
.BFX,42,1,25,177.82794100389228,2.25,0.2599064619306191
.BFX,42,1,26,316.22776601683796,2.5,0.2635476267649828
.BFX,42,1,27,562.341325190349,2.75,0.26883578130066754
.BFX,42,1,28,1000.0,3.0,0.2765207508979946
